age,job,marital,education,balance,housing,loan,day,month
59,admin.,married,secondary,2343,yes,no,5,may
56,admin.,married,secondary,45,no,no,5,may
41,technician,married,secondary,1270,yes,no,5,may
55,services,married,secondary,2476,yes,no,5,may
54,admin.,married,tertiary,184,no,no,5,may
42,management,single,tertiary,0,yes,yes,5,may
56,management,married,tertiary,830,yes,yes,6,may
60,retired,divorced,secondary,545,yes,no,6,may
37,technician,married,secondary,1,yes,no,6,may
28,services,single,secondary,5090,yes,no,6,may
38,admin.,single,secondary,100,yes,no,7,may
30,blue-collar,married,secondary,309,yes,no,7,may
29,management,married,tertiary,199,yes,yes,7,may
46,blue-collar,single,tertiary,460,yes,no,7,may
31,technician,single,tertiary,703,yes,no,8,may
35,management,divorced,tertiary,3837,yes,no,8,may
32,blue-collar,single,primary,611,yes,no,8,may
49,services,married,secondary,-8,yes,no,8,may
41,admin.,married,secondary,55,yes,no,8,may
49,admin.,divorced,secondary,168,yes,yes,8,may
28,admin.,divorced,secondary,785,yes,no,8,may
43,management,single,tertiary,2067,yes,no,8,may
43,management,divorced,tertiary,388,yes,no,8,may
43,blue-collar,married,primary,-192,yes,no,8,may
37,unemployed,single,secondary,381,yes,no,8,may
35,blue-collar,single,secondary,40,yes,no,9,may
31,technician,single,tertiary,22,yes,no,9,may
43,blue-collar,single,secondary,3,yes,no,9,may
31,admin.,married,secondary,307,yes,no,9,may
28,blue-collar,single,secondary,759,yes,no,9,may
32,blue-collar,married,secondary,-1,yes,no,9,may
60,technician,married,primary,65,yes,no,9,may
26,blue-collar,single,secondary,82,yes,no,9,may
40,blue-collar,married,secondary,10,yes,no,9,may
33,blue-collar,divorced,primary,390,yes,no,9,may
32,management,single,tertiary,311,no,no,12,may
35,blue-collar,married,primary,414,no,no,13,may
33,management,divorced,secondary,5,yes,no,13,may
38,management,married,tertiary,119,yes,no,13,may
23,entrepreneur,single,primary,4,yes,no,13,may
60,blue-collar,married,primary,1262,yes,yes,13,may
48,management,married,tertiary,1949,yes,no,13,may
45,entrepreneur,divorced,tertiary,-395,yes,no,13,may
36,blue-collar,married,secondary,1165,yes,no,13,may
52,management,married,unknown,2240,yes,no,13,may
35,blue-collar,divorced,primary,300,yes,no,13,may
43,technician,married,secondary,3285,yes,no,13,may
52,housemaid,married,secondary,3923,yes,no,14,may
53,technician,divorced,primary,1443,yes,no,14,may
48,blue-collar,divorced,primary,24,yes,no,14,may
41,blue-collar,single,primary,1618,yes,no,14,may
39,management,divorced,tertiary,517,yes,yes,14,may
59,retired,married,secondary,1521,yes,yes,14,may
41,blue-collar,married,secondary,2823,yes,no,14,may
48,blue-collar,married,secondary,1405,yes,no,14,may
40,admin.,married,secondary,1535,yes,no,14,may
48,blue-collar,married,secondary,1596,yes,no,14,may
60,retired,married,primary,1542,yes,no,14,may
40,technician,single,unknown,3652,yes,no,14,may
57,technician,married,tertiary,-1,no,no,14,may
51,blue-collar,married,secondary,7180,yes,no,14,may
41,blue-collar,divorced,secondary,5291,yes,no,14,may
41,blue-collar,married,secondary,1384,yes,no,15,may
52,blue-collar,divorced,primary,-191,yes,no,15,may
59,blue-collar,married,primary,320,yes,no,15,may
44,blue-collar,married,unknown,146,yes,no,15,may
49,unknown,married,primary,341,yes,yes,15,may
40,services,married,primary,-9,yes,no,15,may
41,admin.,married,primary,-306,yes,no,15,may
44,technician,married,tertiary,4580,yes,no,15,may
60,services,single,primary,313,yes,no,15,may
29,management,married,tertiary,10576,no,no,15,may
41,retired,divorced,primary,-233,yes,no,15,may
41,blue-collar,married,primary,2453,yes,no,15,may
42,technician,single,secondary,1364,yes,no,15,may
36,services,single,unknown,281,yes,no,16,may
39,technician,married,tertiary,94,yes,yes,16,may
31,self-employed,single,tertiary,144,yes,no,16,may
26,blue-collar,married,secondary,246,yes,no,16,may
31,blue-collar,married,secondary,92,yes,no,16,may
29,admin.,single,secondary,163,yes,yes,16,may
37,services,divorced,secondary,49,yes,no,16,may
33,blue-collar,single,secondary,-416,yes,no,16,may
24,technician,single,secondary,409,yes,no,16,may
50,admin.,divorced,secondary,363,yes,no,16,may
27,technician,single,tertiary,3706,yes,no,16,may
54,management,single,tertiary,4393,yes,no,16,may
30,technician,single,secondary,863,yes,no,16,may
34,blue-collar,married,primary,695,yes,yes,16,may
37,management,single,secondary,792,yes,no,16,may
41,admin.,single,secondary,1020,yes,no,19,may
47,blue-collar,married,secondary,863,yes,no,19,may
31,admin.,married,secondary,97,yes,no,19,may
31,blue-collar,married,secondary,754,yes,no,19,may
43,services,divorced,secondary,1040,yes,no,19,may
37,management,divorced,tertiary,122,yes,no,19,may
30,technician,single,tertiary,880,yes,yes,19,may
41,technician,married,secondary,501,yes,no,19,may
36,blue-collar,married,secondary,4438,yes,no,20,may
35,blue-collar,divorced,secondary,0,yes,no,20,may
29,services,single,secondary,271,yes,no,20,may
35,blue-collar,married,primary,102,yes,no,20,may
31,blue-collar,married,secondary,2,yes,no,20,may
35,services,married,secondary,4170,yes,no,20,may
34,technician,single,secondary,85,yes,no,20,may
31,admin.,single,secondary,431,yes,yes,20,may
44,technician,divorced,secondary,982,yes,no,20,may
36,blue-collar,married,primary,408,yes,yes,20,may
35,blue-collar,married,unknown,4822,yes,no,20,may
41,blue-collar,married,primary,1250,yes,no,20,may
31,blue-collar,single,primary,216,yes,no,21,may
34,blue-collar,married,secondary,1207,yes,no,21,may
32,technician,married,secondary,791,yes,no,21,may
36,management,married,tertiary,849,yes,yes,21,may
30,blue-collar,single,secondary,239,yes,no,21,may
37,technician,single,secondary,1211,yes,no,21,may
36,blue-collar,married,primary,599,yes,no,21,may
31,management,single,tertiary,825,yes,no,21,may
27,technician,married,secondary,2183,yes,yes,21,may
34,retired,married,primary,4499,no,no,21,may
30,technician,single,tertiary,1289,yes,no,21,may
32,technician,single,tertiary,4665,yes,no,21,may
37,technician,single,secondary,3326,yes,no,21,may
32,blue-collar,married,secondary,783,yes,no,21,may
33,blue-collar,married,secondary,0,yes,no,21,may
35,blue-collar,married,primary,994,yes,no,23,may
35,self-employed,divorced,tertiary,1354,yes,no,23,may
30,blue-collar,single,secondary,239,yes,no,23,may
45,blue-collar,divorced,primary,-311,yes,no,23,may
45,admin.,married,secondary,149,yes,no,23,may
33,blue-collar,married,secondary,1464,yes,no,23,may
44,management,divorced,tertiary,5773,no,no,23,may
40,blue-collar,married,primary,278,yes,no,23,may
31,blue-collar,married,secondary,2910,yes,no,23,may
30,technician,married,tertiary,541,yes,no,26,may
44,technician,divorced,secondary,1262,yes,no,26,may
34,services,married,secondary,-538,yes,no,26,may
37,blue-collar,married,secondary,125,no,no,26,may
28,self-employed,single,tertiary,0,yes,no,26,may
32,admin.,single,secondary,620,yes,no,26,may
37,blue-collar,divorced,secondary,316,yes,no,26,may
34,management,married,tertiary,2287,yes,no,26,may
38,admin.,divorced,secondary,198,yes,no,26,may
28,admin.,single,secondary,460,yes,no,26,may
31,management,divorced,tertiary,1145,yes,no,26,may
59,services,married,secondary,-22,yes,no,26,may
24,blue-collar,married,secondary,685,yes,no,26,may
26,services,single,secondary,901,yes,no,26,may
59,retired,single,secondary,351,yes,no,27,may
30,entrepreneur,single,primary,0,yes,yes,27,may
37,admin.,married,secondary,274,yes,no,27,may
30,admin.,single,secondary,-213,yes,yes,27,may
25,blue-collar,married,secondary,97,yes,no,27,may
44,services,divorced,secondary,51,yes,yes,27,may
29,management,married,tertiary,314,no,no,28,may
26,management,single,tertiary,6840,yes,no,28,may
26,technician,single,secondary,668,yes,no,28,may
27,services,single,secondary,54,yes,no,28,may
25,self-employed,single,secondary,1242,yes,no,28,may
28,management,married,secondary,292,yes,no,28,may
23,services,single,secondary,665,yes,no,28,may
34,management,single,tertiary,1058,yes,no,28,may
28,student,single,secondary,949,yes,no,28,may
51,entrepreneur,married,unknown,606,yes,no,28,may
35,blue-collar,married,secondary,0,yes,yes,29,may
35,admin.,married,secondary,404,yes,no,29,may
56,blue-collar,married,secondary,249,yes,no,29,may
45,unemployed,divorced,secondary,3354,yes,no,29,may
60,blue-collar,divorced,secondary,0,yes,no,29,may
56,technician,married,secondary,589,yes,no,29,may
27,management,single,tertiary,12956,yes,no,29,may
30,admin.,married,secondary,873,yes,no,29,may
45,blue-collar,divorced,primary,594,yes,no,29,may
29,blue-collar,single,secondary,-20,yes,no,29,may
38,management,divorced,tertiary,4692,yes,no,29,may
30,blue-collar,married,secondary,486,yes,no,29,may
44,blue-collar,single,primary,1593,yes,no,29,may
36,management,single,tertiary,7606,yes,no,30,may
38,technician,married,secondary,226,yes,no,30,may
36,blue-collar,single,secondary,366,yes,yes,30,may
37,management,divorced,secondary,16,yes,no,30,may
35,management,single,tertiary,565,yes,no,30,may
38,admin.,divorced,secondary,19,yes,no,30,may
40,services,married,primary,1082,yes,no,30,may
42,unemployed,divorced,secondary,1713,yes,no,30,may
46,management,divorced,tertiary,14481,yes,no,30,may
35,technician,divorced,secondary,5724,yes,no,30,may
34,technician,divorced,secondary,1451,yes,no,30,may
32,services,married,secondary,-34,yes,no,30,may
50,unemployed,married,secondary,3674,yes,no,30,may
35,blue-collar,married,secondary,698,yes,yes,30,may
36,technician,single,secondary,4136,yes,no,30,may
53,blue-collar,divorced,primary,2656,yes,no,30,may
46,management,single,tertiary,2904,yes,no,30,may
26,management,single,tertiary,1004,yes,no,30,may
45,technician,single,secondary,410,yes,no,30,may
31,unemployed,divorced,primary,0,yes,no,30,may
29,management,single,tertiary,0,yes,no,30,may
53,entrepreneur,single,secondary,62,yes,no,30,may
27,blue-collar,married,primary,416,yes,no,30,may
39,management,married,tertiary,2763,yes,no,2,jun
36,services,married,secondary,2984,yes,no,2,jun
